label,support,f1,precision,recall
Thunderstorm Wind,9688,0.49726396917148363,0.33101891438930126,0.9989677952105698
Marine Thunderstorm Wind,169,0.4278481012658228,0.2721417069243156,1.0
Excessive Heat,3070,0.4067188952330368,0.2554202801867912,0.9977198697068403
Heat,2406,0.32992256637168144,0.1978769281804611,0.9916874480465503
Hail,9749,0.26633492293869654,0.15390759792958017,0.9882039183506001
Flood,1869,0.1978499294168748,0.1100972868451266,0.9748528624933119
Flash Flood,9973,0.19552910291480044,0.10861869350313934,0.9783415221096962
Extreme Cold/Wind Chill,169,0.12689545091779728,0.06803594351732992,0.9408284023668639
Tornado,3125,0.09928580538196659,0.05224569233092294,0.99648
Waterspout,286,0.08986284092700615,0.0470529965329371,0.9965034965034965
Cold/Wind Chill,206,0.08706677937447169,0.04551480335837384,1.0
Heavy Snow,152,0.048281374900079936,0.024741930198263148,0.993421052631579
Blizzard,164,0.0383495145631068,0.0195641406636949,0.9634146341463414
Lightning,1101,0.02919071996514541,0.014817476882248054,0.9736603088101726
Debris Flow,292,0.023882140087878003,0.012124074948826957,0.791095890410959
Wildfire,206,0.010871719373743665,0.005467748825288338,0.9320388349514563
