label,support,f1,precision,recall
Thunderstorm Wind,9688,0.5575242802938003,0.4206103261725931,0.8265895953757225
Marine Thunderstorm Wind,169,0.537117903930131,0.42560553633217996,0.727810650887574
Excessive Heat,3070,0.41034633932485753,0.3721176782401272,0.45732899022801304
Hail,9749,0.35836387626447735,0.2509032681885367,0.6268335213868089
Heat,2406,0.34575688073394495,0.26389496717724287,0.5012468827930174
Flash Flood,9973,0.2606359158083296,0.21939684715558602,0.32096660984658576
Flood,1869,0.2354948805460751,0.17288900025056378,0.36918138041733545
Tornado,3125,0.2103858980466889,0.14979647218453188,0.35328
Extreme Cold/Wind Chill,169,0.18417639429312582,0.10342316096139839,0.8402366863905325
Waterspout,286,0.1483050847457627,0.1881720430107527,0.12237762237762238
Cold/Wind Chill,206,0.11594202898550725,0.06173228346456693,0.9514563106796117
Blizzard,164,0.10740203193033382,0.05709876543209876,0.9024390243902439
Lightning,1101,0.09548793284365163,0.05398030608613121,0.41326067211625794
Debris Flow,292,0.08333333333333333,0.04960835509138381,0.2602739726027397
Heavy Snow,152,0.06456456456456457,0.036440677966101696,0.28289473684210525
Wildfire,206,0.022816679779701022,0.012414383561643835,0.1407766990291262
