label,support,f1,precision,recall
Thunderstorm Wind,9688,0.497327852004111,0.3310755336617406,0.9989677952105698
Marine Thunderstorm Wind,169,0.4278481012658228,0.2721417069243156,1.0
Excessive Heat,3070,0.40677290836653385,0.2554628857381151,0.9977198697068403
Heat,2406,0.3318497913769124,0.19926507432771004,0.9916874480465503
Hail,9749,0.2717138480739774,0.1576556559522046,0.9825623140834957
Flash Flood,9973,0.20718205030694845,0.11618044892885866,0.9559811491025769
Flood,1869,0.19916465157177402,0.1109818092729834,0.9695024077046549
Extreme Cold/Wind Chill,169,0.12704754294846185,0.06812339331619537,0.9408284023668639
Tornado,3125,0.10205423171733771,0.0537895192724123,0.9936
Waterspout,286,0.08991954566966398,0.04708409053361969,0.9965034965034965
Cold/Wind Chill,206,0.08985823336968375,0.047042703813656085,1.0
Heavy Snow,152,0.048312270036794114,0.024758157074930315,0.993421052631579
Blizzard,164,0.03904126513466766,0.01992433795712484,0.9634146341463414
Lightning,1101,0.03338559731394815,0.016989039329464863,0.9573115349682108
Debris Flow,292,0.01975368857456408,0.009995475299247254,0.8321917808219178
Wildfire,206,0.01052122384810739,0.005293580772741101,0.8446601941747572
