label,support,f1,precision,recall
Thunderstorm Wind,9688,0.559469804366317,0.4260038860103627,0.8147192402972749
Marine Thunderstorm Wind,169,0.5363825363825364,0.41346153846153844,0.7633136094674556
Excessive Heat,3070,0.4082413539367182,0.3723489932885906,0.45179153094462543
Hail,9749,0.3596911824461601,0.24438636530957816,0.6809929223510104
Heat,2406,0.3431483578708947,0.26019750966079863,0.5037406483790524
Flash Flood,9973,0.26736337905508384,0.2094967301677566,0.3693973729068485
Flood,1869,0.24872905290905667,0.15091968467953845,0.7067950775815944
Tornado,3125,0.20772903342041257,0.14455867602808425,0.36896
Extreme Cold/Wind Chill,169,0.18820577164366373,0.10526315789473684,0.8875739644970414
Waterspout,286,0.13675213675213677,0.17582417582417584,0.11188811188811189
Cold/Wind Chill,206,0.10846560846560846,0.05735870173475098,0.9951456310679612
Blizzard,164,0.10024030209406111,0.053110221898872316,0.8902439024390244
Lightning,1101,0.09949409780775717,0.05735314539647271,0.3751135331516803
Debris Flow,292,0.08428246013667426,0.050546448087431695,0.2534246575342466
Heavy Snow,152,0.05639913232104121,0.030732860520094562,0.34210526315789475
Wildfire,206,0.022215892908003416,0.011800302571860818,0.18932038834951456
