,Thunderstorm Wind,Waterspout,Marine Thunderstorm Wind,Hail,Flood,Flash Flood,Excessive Heat,Lightning
event_type_avg_severity,-0.3068091140696764,-0.74284009751219,-0.354883669405095,0.32880497544350035,0.7610164853361467,0.7994933263041519,-0.6941779634031413,-0.8220853032027204
event_rarity_score,0.37284023375317227,,-0.13553063547358235,0.8447044866905751,-0.5904689343452328,-0.22006176123065685,0.39500523910427954,0.9254853835382433
days_since_last_cascade_trigger,-0.3709813948253172,-0.5894866176870391,-0.22188007994866527,-0.4143838607856409,-0.43680770057170887,-0.5020811882969641,-0.5729218922693227,-0.4775637245176675
etype_Marine Thunderstorm Wind,,0.9125609672133392,,,,,,
is_winter_type,,,,,0.6214846865388706,0.19614498068276237,,
event_type_avg_damage,-0.7354484556580166,,,-0.038760801905491186,0.186549874193506,0.2064422203802802,-0.18773899236425623,
has_coordinates,,,0.9915776574507624,,0.9157471104901642,,-0.9048834958560743,
STATE_FIPS,-0.30612057095910916,0.4780023219294015,0.201110631153727,-0.2666017515502581,0.021172747782381287,0.3182121438456712,-0.678319743577196,-0.6264230791563099
BEGIN_LON,0.34229839857510524,-0.571437402686609,-0.3279285017137497,-0.9275756197583531,0.248813967660301,-0.8362669991964313,0.9124916017768137,-0.25458952600496965
days_since_last_event,0.10577412288648683,0.2245485243983497,-0.0921964365748544,0.10772140392597448,0.05435874410405233,0.1334680775617561,-0.027348360546884956,0.20343753266375364
event_duration_hours,-0.3380482288252272,-0.24042299434705872,-0.2657758149001562,-0.2928818535133816,-0.251731900670899,-0.5459677570788439,0.32126014946836107,0.0101391893575447
is_convective_type,0.6906156917235146,,,0.9762337668536603,-0.9823473719961037,0.9887853836960463,,0.9959598305501496
location_cascade_rate,0.8056124890947112,0.41994613559379007,0.42278098093791616,0.7766189521630659,0.5190210108782999,0.6880503059421774,0.34179554107598614,0.8057905483725178
BEGIN_LAT,0.69048965949512,-0.69574805603097,-0.3301673682224621,0.9745835616031597,0.7192379722428349,-0.5288548906297398,-0.8978740621160989,-0.6774917181431143
etype_Hail,0.9903282938766216,,,-0.9991178505519396,,-0.5577951385750828,,-0.6465578143915489
