feature,mean_abs_shap
event_type_avg_severity,0.8981726900674403
event_rarity_score,0.7178055190452142
days_since_last_cascade_trigger,0.43705299735302106
etype_Marine Thunderstorm Wind,0.3391607701778412
is_winter_type,0.33297314710216597
event_type_avg_damage,0.2916206158697605
has_coordinates,0.2839447887381539
STATE_FIPS,0.23815693345386535
BEGIN_LON,0.182100476231426
days_since_last_event,0.18097543844487518
event_duration_hours,0.15902244084281847
is_convective_type,0.15569050196063472
location_cascade_rate,0.14935558568686247
BEGIN_LAT,0.14292740321252495
etype_Hail,0.12763491465011612
day_of_year,0.12356246745912358
etype_Winter Storm,0.11966904903238174
month_cos,0.11797953734640032
etype_Heat,0.11230344069190323
is_zone_event,0.10804476775228977
etype_Excessive Heat,0.10401992173865438
etype_Thunderstorm Wind,0.10287639663238224
MAGNITUDE,0.09945308562600985
state_cascade_rate,0.09838059142930433
state_avg_severity,0.0974780144460965
etype_Drought,0.09379930056093144
location_avg_damage,0.08514464856125414
etype_Flash Flood,0.06680124981357949
location_event_count,0.06103221091325395
CZ_FIPS,0.059587434225250036
state_avg_damage,0.059420982681331225
END_LON,0.05833004167652689
magnitude,0.05479923865641467
abs_latitude,0.043692073377314955
events_last_7d,0.04054197570803808
LONGITUDE,0.03860942623578012
location_avg_severity,0.03860580761283927
etype_Heavy Rain,0.03313650994095951
hour,0.0327323841775069
day_of_week,0.031987819867936196
is_significant_hail,0.03136508683382999
LATITUDE,0.028598840028280392
events_last_30d,0.028514290854218416
END_LAT,0.02697692735819146
hour_cos,0.026812440570211038
month,0.02494686414138414
hour_sin,0.022541025638929568
is_flood_type,0.0211562928307103
latitude,0.018690194003283978
etype_Lake-Effect Snow,0.017876235768198967
month_sin,0.017182205570861697
is_rain_flood,0.015289318456780165
etype_Funnel Cloud,0.014539891593813081
max_severity_last_30d,0.013551267466027639
TOR_WIDTH,0.012448423745809123
damage_last_30d,0.011941345746890875
END_RANGE,0.010463424099725671
DAMAGE_PROPERTY_USD,0.010307312750228448
TOR_LENGTH,0.009939556643075775
is_coastal_state,0.00942913677317847
longitude,0.008344278612639755
recent_event_density,0.008023102247534553
etype_Waterspout,0.007720636203885078
etype_Heavy Snow,0.007383166899671778
max_severity_last_7d,0.00690868559286173
etype_Tropical Storm,0.005691244066838408
is_severe_wind,0.005430064359643438
damage_last_7d,0.005356822583962639
has_magnitude,0.004969830032678146
etype_Marine Hail,0.004927823785692453
etype_Lightning,0.004733384717837907
etype_Flood,0.004595784830598859
etype_Blizzard,0.004562018206343055
etype_High Wind,0.004512027022428811
BEGIN_RANGE,0.004171629174379632
event_path_length_miles,0.003927885214579874
etype_Debris Flow,0.003453769430052489
damage_property_usd,0.0030739833127881866
severity_score,0.0029859076657885453
TOTAL_DAMAGE_USD,0.0028802343222196214
is_hurricane_type,0.002714472298976034
etype_Ice Storm,0.002264437782287132
etype_Tornado,0.0018033003434538841
etype_Winter Weather,0.0017642695822814858
etype_Cold/Wind Chill,0.0012602353235706687
tor_length,0.0011896774431079393
begin_range,0.0011295973890810274
etype_Frost/Freeze,0.0011177301794305095
DAMAGE_CROPS_USD,0.0008973792928372859
INJURIES_DIRECT,0.0006925395387042954
total_damage_usd,0.0006803052801842568
tor_path_area,0.000540949622518383
etype_Strong Wind,0.00045355589827522635
etype_Wildfire,0.0003187317415722646
tor_width_miles,0.0002880141519199242
FATALITY_COUNT,0.0002595105233922368
log_damage,0.00021149002827769436
tornado_intensity,0.0002021560212597251
etype_Extreme Cold/Wind Chill,0.00011843677566503175
damage_crops_usd,0.0001026765139613417
etype_Dense Smoke,8.943227294366807e-05
etype_Avalanche,6.792569661229209e-05
is_snowmelt_flood,4.676403659686912e-05
etype_Dense Fog,2.8925567676196806e-05
etype_Hurricane (Typhoon),2.6412659281049855e-05
INJURIES_INDIRECT,2.3227695351124567e-05
DEATHS_DIRECT,2.200023800469353e-05
total_injuries,1.4135666447145923e-05
etype_Coastal Flood,6.343059339997126e-06
has_fatalities,3.1176809898170177e-06
etype_Tropical Depression,2.344362883377471e-06
etype_Storm Surge/Tide,2.225724074378377e-06
total_deaths,1.5443619076904724e-06
DEATHS_INDIRECT,0.0
etype_Astronomical Low Tide,0.0
etype_Marine Tropical Depression,0.0
is_ice_jam_flood,0.0
etype_Volcanic Ashfall,0.0
etype_Rip Current,0.0
etype_Seiche,0.0
etype_Sleet,0.0
etype_Sneakerwave,0.0
etype_Marine Strong Wind,0.0
etype_Marine Lightning,0.0
etype_Tsunami,0.0
etype_Marine High Wind,0.0
etype_Dust Devil,0.0
etype_Marine Dense Fog,0.0
etype_Lakeshore Flood,0.0
etype_Hurricane,0.0
etype_High Surf,0.0
etype_Freezing Fog,0.0
etype_Dust Storm,0.0
etype_Marine Tropical Storm,0.0
etype_Marine Hurricane/Typhoon,0.0
