,Thunderstorm Wind,Waterspout,Marine Thunderstorm Wind,Hail,Flood,Flash Flood,Excessive Heat,Lightning,Debris Flow,Wildfire,Tornado,Blizzard,Cold/Wind Chill,Extreme Cold/Wind Chill,Heat,Heavy Snow
STATE_FIPS,0.044847842,0.81765187,2.2383661,0.015159428,0.02224769,0.028521921,0.03849564,0.061612103,0.09735584,0.148399,0.0273551,0.05160445,0.04027626,0.023716636,0.115265444,0.039635587
CZ_FIPS,0.017089112,0.012164696,0.4598648,0.027470246,0.023943985,0.024448019,0.026258444,0.029726544,0.026028669,0.056924492,0.019441433,0.05397727,0.028919775,0.01069786,0.06472895,0.071714655
BEGIN_LAT,0.0303266,0.05590719,0.06628699,0.07080264,0.041703075,0.0447243,0.16138916,0.035143457,0.12891795,1.3444467,0.09048988,0.024267804,0.0,0.03587166,0.09438481,0.062176287
BEGIN_LON,0.055672772,0.019492645,0.0458453,0.13814305,0.0272554,0.10904091,0.05981235,0.11774559,1.9713975,0.03099783,0.098308094,0.0,0.0,0.027335476,0.18062267,0.03193802
END_LAT,0.006869843,0.008874463,0.012776227,0.039271705,0.028717762,0.02480974,0.0,0.016799226,0.06435494,0.0,0.038360637,0.0,0.0,0.0,0.13393682,0.05685947
END_LON,0.01798485,0.01509984,0.012337407,0.121492386,0.029756384,0.08986436,0.0,0.06555702,0.45297086,0.001839315,0.05776515,0.0,0.0,0.0,0.0686131,0.0
LATITUDE,0.018017663,0.003847011,0.100251414,0.036220696,0.056192145,0.059087202,0.0,0.0301435,0.060957886,0.0,0.092863925,0.0,0.0,0.0,0.0,0.0
LONGITUDE,0.0666133,0.014098801,0.014085392,0.05850668,0.02901551,0.09119895,0.0,0.05450011,0.14663531,0.049457967,0.0936388,0.0,0.0,0.0,0.0,0.0
BEGIN_RANGE,0.0035388619,0.003760719,0.031461533,0.011460463,0.0054657026,0.0058916304,0.0,0.0026081363,0.0016698258,0.0,0.00088919513,0.0,0.0,0.0,0.0,0.0
END_RANGE,0.004011174,0.0027262839,0.12802708,0.007750025,0.0056213173,0.011033883,0.0,0.004454198,0.002384139,0.0,0.0014066836,0.0,0.0,0.0,0.0,0.0
