shap_sample_idx,cluster,pca_x,pca_y
163613,4,-4.4947343,3.796754
8231,4,-4.304173,3.492366
15710,0,-3.2614987,-7.693095
66703,3,-3.0176935,-4.678066
18926,0,-3.7117593,-8.785087
21745,1,8.564242,0.87180775
91428,2,-4.470323,2.4698188
80800,1,8.648348,1.3678088
166369,3,-2.5297387,-1.580674
151058,2,-4.488945,2.8335998
135900,0,-3.3498735,-6.6802273
80834,4,-4.52046,3.8435254
114575,4,-4.3156323,3.9891496
77598,2,-3.7495322,1.9921991
90801,4,-4.4151125,4.1153564
153562,4,-4.400977,4.056202
85989,1,8.24039,-0.044673577
27464,2,-4.3579183,2.4498065
94465,1,8.240867,-0.16169792
27796,0,-3.6820507,-8.163812
32144,1,8.404056,0.5153505
113558,0,-3.5069747,-8.992295
161440,3,-2.6637921,-2.287967
166774,4,-4.4625077,3.9229436
50867,1,5.9651756,-4.577953
33110,0,-3.4472692,-7.670724
19154,1,8.289673,0.13119653
186098,2,-4.3628435,2.5244658
107394,4,-4.56864,3.7976444
99624,4,-4.5496693,3.6339543
107741,1,8.555357,1.0690957
91043,1,8.65564,0.9561527
79924,3,-2.8122296,-2.3113277
6043,1,8.500493,-0.08245896
44617,3,-2.5227513,-3.5318048
9020,3,-2.7529526,-1.8833354
164261,1,6.0484757,-2.7545502
117948,0,-3.110769,-7.887248
144606,1,8.360233,1.1846005
8419,1,8.375703,0.42277566
188860,4,-4.1210833,3.7669818
108523,4,-4.5312324,4.211091
189854,2,-4.4168124,2.6134553
36681,1,8.258318,0.21084028
81232,1,8.5591545,1.2365582
68223,3,-2.8128428,-3.3529904
107742,1,8.648028,1.2325784
32855,1,5.9876695,-4.2205577
99112,4,-4.5195036,4.2135954
50227,2,-4.4189053,2.7960637
183436,0,-3.7507322,-8.188826
85213,4,-4.2864547,3.8707142
179785,0,-3.626921,-8.615192
114956,4,-4.3385296,4.378364
156626,3,-2.6852634,-2.6372888
111256,0,-2.9576054,-5.2560825
165305,1,8.794028,1.126533
159462,4,-4.4046326,4.161713
83227,3,-2.52926,-1.9432547
183561,0,-3.6159365,-7.111959
10522,1,8.462641,0.824863
181468,0,-3.821784,-8.324406
18814,0,-3.791245,-8.821472
5249,4,-4.363077,3.9769912
102718,4,-4.3905225,4.183146
192420,4,-4.2505903,3.3151941
44766,0,-3.5083845,-8.538815
172021,4,-4.517146,4.3660345
93509,1,8.473166,0.6269448
102242,0,-2.9131544,-5.2639184
159848,1,8.813749,0.7843658
210,1,8.411718,0.97903687
91825,3,-2.884397,-3.113363
79338,1,8.6173525,1.2685417
146836,1,8.730166,1.0177425
38611,4,-4.389248,4.0336804
156239,1,7.990295,0.05805614
62384,4,-4.232239,3.6620243
187846,4,-4.326718,3.9252179
150884,2,-3.9359248,2.83943
21586,2,-4.634683,3.1894617
88223,4,-4.390118,3.9289582
36108,0,-3.4837754,-8.818143
93000,1,8.453225,-0.19389987
184474,1,6.000745,-5.5000257
18704,1,8.259278,0.18490975
38900,4,-5.5171556,3.796446
25405,1,8.492491,1.2158357
24868,1,8.742318,1.1135092
176413,4,-4.506479,3.9710538
159262,4,-4.321968,4.142443
91343,3,-2.7153606,-2.2171023
115276,0,-3.066901,-8.175661
187497,0,-3.217652,-8.601698
91920,1,8.802673,1.2592584
8427,1,8.59394,1.2055666
165483,1,8.546147,0.20849036
103773,4,-5.248978,3.894593
95189,4,-4.4335723,4.0606804
191248,1,8.253321,0.21138217
10255,4,-4.2253985,3.4811034
183212,1,8.711098,1.1990763
90783,2,-4.328477,3.3146286
44052,3,-2.7407334,-3.6749716
26894,1,5.5380497,-4.452432
156567,1,8.316458,-0.15222016
36873,4,-4.124365,3.7623744
50325,2,-4.354356,2.7161653
94334,1,8.80516,1.1913364
60062,1,8.231426,-0.30353513
162805,1,8.799162,0.46527916
7381,1,8.655913,1.2774174
51507,1,8.6596155,1.18427
152046,1,8.576463,1.009663
150390,3,-2.4274216,-2.4207222
104767,4,-4.5949745,3.8867233
62374,1,8.353468,0.96413386
168775,0,-3.1537802,-7.3441124
162531,1,8.692282,1.2131907
89040,1,8.62939,1.1675543
8894,4,-4.228185,3.755153
156313,1,8.11257,0.06020971
175307,2,-4.608822,2.9117
97902,0,-3.4825506,-7.4329963
78624,2,-4.392227,2.4078312
180644,1,8.381554,1.1102118
35281,0,-3.505118,-8.845968
82025,2,-4.4120183,2.4976377
27173,1,8.562853,0.28792128
181502,0,-3.7100258,-8.431522
39783,4,-4.3781857,4.0845227
27256,4,-4.3931437,4.187229
108406,0,-3.722083,-8.4717455
87682,0,-3.5739913,-8.486664
20986,1,8.326348,0.58968985
111990,0,-3.581725,-9.154603
15971,4,-4.317597,3.5452075
5248,1,8.770135,1.0815276
45358,0,-3.219535,-7.91269
171674,4,-4.197427,3.7241006
164602,2,-4.3139315,3.0124197
103550,0,-3.0138345,-8.567533
166016,2,-4.3938675,2.4390018
14515,4,-4.147603,3.5944133
6253,4,-4.4141283,4.136921
178361,3,-3.0848596,-3.3456306
19824,0,-3.1145332,-7.054206
92303,0,-3.2151215,-8.38643
47883,3,-2.4296706,-3.0311494
29592,2,-4.31704,2.4493942
104836,4,-4.3838453,4.0115952
91075,1,8.517387,-0.0025896935
185046,2,-4.301564,2.5354583
49613,1,8.748,1.1774728
5809,4,-4.4082203,4.070841
154468,1,8.72008,1.3728861
82777,3,-2.606822,-1.1908026
190360,1,8.221577,0.073128276
117388,4,-4.465845,4.1546335
169316,1,6.1814756,-2.6967254
172373,0,-3.6173725,-7.3309526
141098,4,-4.277573,4.0546875
18237,1,8.587525,0.5063098
43093,2,-4.59357,2.41301
22423,0,-3.4023461,-7.521028
107919,0,-3.6149216,-8.879042
153002,4,-4.46083,3.7375715
187156,0,-3.7347505,-8.167916
183129,1,8.593247,0.44603088
76977,3,-2.9019923,-3.7859309
104561,4,-4.487049,3.6756325
29185,2,-4.504373,2.9879713
180997,0,-3.4942195,-8.299078
104666,2,-4.308246,2.9770017
24274,3,-2.707457,-2.6667354
102016,2,-4.483496,2.7301562
62446,0,-3.0276122,-6.3808146
153747,1,8.215874,-0.02840865
99539,0,-3.0550368,-7.1714854
33287,4,-5.0996213,3.6685636
10569,4,-4.4459863,4.034378
168685,3,-3.991679,-4.415309
26012,1,8.653223,1.3812506
28027,1,8.717177,0.98824143
147727,2,-3.9392438,2.1222577
136670,3,-2.3572383,-2.6160696
99719,0,-3.548485,-8.831859
174502,4,-4.321187,3.8392682
18950,1,8.979049,0.76982725
79401,3,-2.6977594,-1.215369
111662,3,-2.8533452,-2.936313
100803,2,-4.4636846,2.5606294
15390,2,-4.440075,3.1502976
115455,2,-4.446395,2.8116362
110794,4,-4.700077,4.1269827
100826,2,-4.483871,2.4618444
136424,0,-3.480941,-7.445289
97232,0,-3.694985,-8.937263
161622,1,8.29956,-0.06302912
175990,2,-4.6320977,3.0710607
70313,1,8.593229,1.2750223
149340,1,8.272509,0.48788768
82210,1,8.545354,0.14351176
166505,2,-4.315075,2.4240274
51508,1,8.700206,1.2640811
180330,0,-3.4787128,-9.089413
21361,4,-4.444192,4.2271366
190557,1,8.434219,-0.13738726
90811,4,-4.3095384,4.170036
28029,1,8.779473,1.0041201
87853,1,8.722833,1.1702572
98606,0,-3.0359094,-7.190859
9379,3,-2.2840683,-1.6110592
146905,2,-4.225724,2.2748406
102432,1,6.1330647,-5.0007544
181767,0,-3.6934857,-8.521696
74110,3,-2.892436,-2.09803
189559,1,8.643469,1.1759171
180466,0,-3.7755318,-8.990431
181851,4,-4.5792656,4.098131
154697,4,-4.579018,4.1021576
119424,1,8.08987,-0.08957854
81032,2,-4.4791446,1.4693587
192722,4,-3.8388493,3.4346285
186001,2,-4.2766104,2.52189
5990,4,-4.2963004,3.6721914
150217,1,8.68575,1.1565013
182542,0,-3.6821885,-8.437031
62538,0,-3.3830132,-6.6659045
22983,1,8.522792,0.22504358
137622,2,-4.365708,2.307741
52761,1,8.399569,1.1533425
30532,2,-4.224599,2.1260772
160699,2,-4.3460193,2.375847
17506,4,-5.074303,3.782808
189441,1,8.555154,-0.18213087
99466,0,-3.5061274,-7.6043496
27010,0,-3.4602733,-9.0886135
44751,0,-3.5733545,-8.695219
174631,4,-4.2687445,4.135261
172431,0,-3.3263872,-7.5482864
164167,2,-4.379826,2.6023145
161505,1,8.359924,-0.06302196
190665,1,8.440842,-0.1983267
80998,2,-4.0653315,2.8846161
88738,1,8.774998,1.1608182
165976,1,8.4841585,1.4018743
75051,1,8.764537,1.0030525
7871,4,-4.3515496,4.0398602
69739,3,-2.3580415,-3.2395627
20789,0,-3.3210492,-8.385749
31317,3,-2.511753,-1.6256629
10658,1,6.125009,-4.775612
22209,1,5.343123,-5.5757513
20953,1,8.217493,0.24163951
103875,4,-4.6228676,4.2590537
147737,1,8.520613,0.7702196
98106,1,8.784513,1.4334695
94641,4,-4.5275135,4.198203
11253,3,-3.192443,-3.4849257
173736,4,-4.5598936,3.9152677
18974,1,8.930036,0.89572495
84217,1,8.234582,-0.15990241
161320,1,8.676352,1.083419
86656,4,-4.308378,3.759059
15898,4,-4.4834113,3.7281406
52754,1,7.999038,-0.018648263
49005,4,-4.372543,4.1682262
85126,1,8.689743,0.9512541
146636,3,-3.1104696,-3.679617
149784,2,-4.018283,2.2921426
152100,4,-4.134167,4.053433
18649,0,-3.4958205,-8.406844
111605,4,-4.7054796,4.197701
83268,1,8.516037,-0.34815037
86240,1,8.708908,0.7556113
106930,4,-4.3093295,3.5122392
29219,1,8.597052,0.9538059
14075,1,8.7481,1.0638419
15849,4,-4.522648,3.1985462
4021,1,7.602949,-0.17451935
49541,4,-4.5264235,3.8739243
89568,1,8.543594,-0.23710628
91898,4,-4.370233,3.6684391
105088,4,-4.4820642,4.1818776
32159,1,8.455354,1.0331044
144050,1,8.722564,1.3052212
29586,0,-3.6913066,-8.571291
53753,3,-3.474186,-3.6955554
152672,1,7.3256826,0.33850467
682,1,6.06664,-4.4506187
146494,2,-4.176945,2.234662
109233,2,-4.351364,2.837506
27400,0,-3.5577517,-8.572353
75838,2,-4.2505684,2.291599
174741,1,8.566477,1.3495297
154598,2,-3.991415,2.9628534
180055,0,-3.5487077,-8.588679
184340,1,8.173125,0.665445
108941,0,-3.3435159,-8.483151
179575,0,-3.599872,-8.602003
187281,4,-4.453327,4.0395226
22456,1,5.8957767,-4.96545
96231,1,8.6342,1.3137403
156373,4,-4.461338,3.9524271
180699,0,-3.543023,-8.502626
87204,0,-3.047762,-8.181329
94333,1,8.865147,1.1338124
16853,1,8.232076,0.4149133
21270,0,-3.5510747,-7.483307
113881,0,-3.4009836,-7.5205126
124635,0,-3.2920964,-6.7628493
38561,4,-4.3610215,3.5014026
175767,4,-4.498717,4.1320386
26019,1,8.269792,0.40563425
78890,4,-4.483857,3.7893417
183318,2,-4.270347,3.1925917
193179,4,-4.480062,4.042139
11424,4,-4.494386,3.786912
79934,3,-2.7624822,-1.2789689
180491,4,-4.4526186,3.8412478
86343,1,8.541491,1.273939
45603,0,-2.9821937,-8.2009735
63364,0,-2.983597,-6.9568877
110589,2,-4.528616,2.2967772
110477,2,-4.447702,2.3399718
112113,1,8.69415,1.015222
137569,3,-3.6007752,-3.8066201
83219,2,-4.4694996,2.7100148
82064,4,-4.3304925,4.283289
26677,4,-4.473356,3.993233
82621,3,-3.3017888,-3.6285627
7825,1,8.295272,1.3989018
119352,4,-4.3572464,3.6047163
186372,0,-3.437673,-8.666572
29135,2,-4.519231,2.6402428
24848,3,-2.937538,-1.9945716
114476,4,-4.3612437,3.344517
177199,2,-4.422225,2.0044587
104824,2,-4.4657927,3.2410536
93431,4,-4.4003315,3.8902407
89399,2,-4.475971,3.134911
79493,1,8.539718,1.1186092
7926,1,8.609634,1.2726462
91853,2,-4.2598157,2.3759444
43996,0,-3.6634223,-8.836144
162187,1,8.597779,1.2436253
6376,1,8.180861,0.08227277
14636,2,-4.511111,2.987542
82228,1,8.329064,-0.267081
180905,4,-4.472962,3.8933842
21464,4,-4.34847,4.244132
147010,1,8.988911,0.91194713
38100,2,-4.4582996,2.4058154
11895,1,8.377558,0.14924894
158009,4,-4.322498,4.033808
27117,3,-2.5538683,-1.1310009
113686,2,-4.262053,2.5357122
111541,1,8.645829,1.1873536
86441,3,-2.7942047,-2.654668
189589,4,-4.3140955,3.9050477
157348,1,8.54055,0.69247836
38981,1,8.7137785,0.97660184
40741,1,8.373096,-0.030140966
152616,1,8.688076,1.5235176
41017,2,-4.046356,2.6028404
89155,3,-2.908375,-3.3677254
159288,1,4.8252397,-4.5115995
26022,1,8.641537,1.3488412
87354,1,8.558571,-0.15559515
164474,1,8.414778,0.5145168
99553,0,-3.6324012,-7.4593854
62725,0,-3.143356,-6.515199
85197,4,-4.219233,3.8812182
147939,4,-4.4008327,3.875875
101433,0,-3.2678688,-7.565699
90790,4,-4.423993,4.0811825
86841,1,8.689714,1.2636163
80197,3,-2.6407795,-3.4943497
