feature_a,feature_b,interaction_strength
days_since_last_event,days_since_last_cascade_trigger,0.31747892
days_since_last_cascade_trigger,event_type_avg_severity,0.25751418
days_since_last_event,event_type_avg_severity,0.10397551
location_cascade_rate,event_type_avg_severity,0.09693432
day_of_year,event_type_avg_severity,0.05347893
days_since_last_cascade_trigger,events_last_7d,0.049889423
etype_Hail,days_since_last_cascade_trigger,0.045395985
events_last_7d,event_type_avg_severity,0.04410537
location_event_count,event_type_avg_severity,0.038097065
event_duration_hours,event_type_avg_severity,0.036178254
etype_Funnel Cloud,etype_Hail,0.036127113
LONGITUDE,event_type_avg_severity,0.033411566
days_since_last_event,events_last_7d,0.029894376
BEGIN_LON,event_type_avg_severity,0.02450555
MAGNITUDE,event_type_avg_severity,0.023678806
day_of_year,days_since_last_cascade_trigger,0.02363005
etype_Hail,days_since_last_event,0.020546509
days_since_last_cascade_trigger,location_cascade_rate,0.020068573
abs_latitude,event_type_avg_severity,0.019551773
day_of_year,etype_Hail,0.018986657
MAGNITUDE,event_rarity_score,0.018618671
days_since_last_cascade_trigger,max_severity_last_7d,0.018327048
event_duration_hours,days_since_last_cascade_trigger,0.01706101
BEGIN_LAT,event_type_avg_severity,0.016498096
etype_Hail,event_type_avg_damage,0.015953936
STATE_FIPS,event_type_avg_severity,0.014559238
days_since_last_event,max_severity_last_7d,0.013739346
LONGITUDE,days_since_last_cascade_trigger,0.013275052
day_of_year,days_since_last_event,0.013216192
days_since_last_cascade_trigger,location_event_count,0.012929068
BEGIN_LON,day_of_year,0.012673203
MAGNITUDE,is_significant_hail,0.011394292
month_cos,event_type_avg_severity,0.011244117
days_since_last_event,location_cascade_rate,0.011024334
MAGNITUDE,days_since_last_cascade_trigger,0.010991738
day_of_year,location_cascade_rate,0.010749812
STATE_FIPS,days_since_last_cascade_trigger,0.010682656
LATITUDE,event_type_avg_severity,0.010441721
hour_sin,event_type_avg_severity,0.010261137
is_significant_hail,days_since_last_cascade_trigger,0.010053809
days_since_last_event,location_event_count,0.009976099
day_of_year,location_event_count,0.009413514
event_rarity_score,is_significant_hail,0.009217152
LONGITUDE,location_event_count,0.009077405
etype_Hail,location_event_count,0.009063601
CZ_FIPS,event_type_avg_severity,0.0088967
events_last_7d,location_cascade_rate,0.008845666
days_since_last_cascade_trigger,damage_last_7d,0.008627014
BEGIN_LON,location_cascade_rate,0.008541261
LONGITUDE,location_cascade_rate,0.008522823
