label,support,f1,precision,recall,pr_auc
Thunderstorm Wind,9688,0.6883712644190086,0.6054054054054054,0.7976878612716763,0.7083065540233101
Waterspout,286,0.5170278637770898,0.4638888888888889,0.583916083916084,0.4500740769626709
Marine Thunderstorm Wind,169,0.44145873320537427,0.32670454545454547,0.6804733727810651,0.3163630377829327
Hail,9749,0.4117014122394082,0.597734817418473,0.3139809211201149,0.5161242297955867
Flood,1869,0.38795180722891565,0.44383184011026877,0.3445692883895131,0.406766749614874
Flash Flood,9973,0.36234532449224666,0.3779956427015251,0.3479394364784919,0.3526460783137701
Excessive Heat,3070,0.29669852302345784,0.4452411994784876,0.2224755700325733,0.37598930254346463
Lightning,1101,0.16564026332554682,0.10809312638580931,0.3542234332425068,0.09021650969584533
Debris Flow,292,0.12826603325415678,0.20930232558139536,0.09246575342465753,0.08704965019565018
Wildfire,206,0.023346303501945526,0.058823529411764705,0.014563106796116505,0.01954060220375783
Tornado,3125,0.003825310806503028,0.5,0.00192,0.21298343519446783
Blizzard,164,0.0,0.0,0.0,0.004384463087526131
Cold/Wind Chill,206,0.0,0.0,0.0,0.14778098709057896
Extreme Cold/Wind Chill,169,0.0,0.0,0.0,0.08015888665864268
Heat,2406,0.0,0.0,0.0,0.43166713904211396
Heavy Snow,152,0.0,0.0,0.0,0.026902794702148007
